City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,carnarvon,-24.8667,113.6333,34.25,31,0,3.45,AU,1702190426
123,sitka,57.0531,-135.33,3.94,81,40,2.57,US,1702190426
124,susuman,62.7833,148.1667,-13.34,93,100,0.45,RU,1702190426
125,ust-nera,64.5667,143.2,-14.58,98,100,2.34,RU,1702190426
126,multai,21.7667,78.25,23.19,40,0,1.01,IN,1702190427
127,acarau,-2.8856,-40.12,26.54,75,100,6.6,BR,1702190427
128,leesburg,39.1157,-77.5636,14.23,84,100,1.34,US,1702190342
129,necochea,-38.5473,-58.7368,14.44,96,67,4.3,AR,1702190427
130,vilhena,-12.7406,-60.1458,22.15,83,13,1.44,BR,1702190427
131,al burayqah,30.4062,19.5739,14.7,70,12,2.1,LY,1702190428
132,wewak,-3.5534,143.6268,28.11,84,100,7.69,PG,1702190428
133,nowy dwor mazowiecki,52.4302,20.7165,-0.84,92,75,3.6,PL,1702190428
134,chauk,20.8833,94.8167,29.39,47,9,1.59,MM,1702190428
135,cherry hill,39.9348,-75.0307,12.35,90,100,1.79,US,1702190141
136,iqaluit,63.7506,-68.5145,-5.15,92,75,0.0,CA,1702190428
137,boguchany,58.3814,97.4531,-26.75,90,50,0.89,RU,1702190429
138,fort st. john,56.2499,-120.8529,-6.06,73,100,3.6,CA,1702190429
139,georgetown,5.4112,100.3354,32.96,74,20,4.63,MY,1702190367
140,puerto deseado,-47.7503,-65.8938,12.04,76,100,8.39,AR,1702190429
141,port alfred,-33.5906,26.891,16.77,89,100,1.79,ZA,1702190429
142,timimoun,29.2639,0.231,9.21,46,11,5.66,DZ,1702190431
143,havsa,41.549,26.8221,2.48,82,100,1.47,TR,1702190431
144,nantucket,41.2835,-70.0995,9.08,96,40,2.57,US,1702190394
145,kristiansund,63.1115,7.732,1.36,55,20,0.0,NO,1702190431
146,fortuna,40.5982,-124.1573,5.75,100,0,4.12,US,1702190431
147,taoudenni,22.6783,-3.9836,17.44,28,52,7.61,ML,1702190432
148,nizhnyaya poyma,56.1622,97.1933,-23.8,87,29,1.5,RU,1702190432
149,nova sintra,14.8667,-24.7167,22.3,72,81,7.09,CV,1702190432
150,okhotsk,59.3833,143.3,-1.79,90,100,17.38,RU,1702190432
151,montevideo,-34.8335,-56.1674,18.23,88,0,1.54,UY,1702190404
152,sechura,-5.5569,-80.8222,20.78,81,75,5.39,PE,1702190432
153,lihue,21.9789,-159.3672,23.77,75,40,4.63,US,1702190432
154,jijel,36.8205,5.7667,7.97,81,0,1.54,DZ,1702190433
155,iskateley,67.6803,53.1512,-22.77,91,93,4.92,RU,1702190433
156,utrik,11.2278,169.8474,27.31,79,44,8.76,MH,1702190433
157,arraial do cabo,-22.9661,-42.0278,22.71,74,28,3.67,BR,1702190433
158,camana,-16.6228,-72.7111,19.15,84,100,2.43,PE,1702190433
159,mil'kovo,55.6078,37.7956,-11.73,93,100,5.41,RU,1702190434
160,guadalupe,25.6833,-100.25,19.08,29,20,7.72,MX,1702190304
161,margaret river,-33.95,115.0667,23.02,44,0,6.56,AU,1702190434
162,hirara,24.8,125.2833,26.92,65,20,6.69,JP,1702190434
163,bati,11.1833,40.0167,19.62,46,9,3.09,ET,1702190434
164,kavieng,-2.5744,150.7967,26.69,85,100,4.73,PG,1702190434
165,vel'sk,61.0701,42.0983,-19.29,100,100,0.89,RU,1702190434
166,jamestown,42.097,-79.2353,11.92,97,100,3.6,US,1702190435
167,wainwright,52.839,-110.8572,-4.75,81,100,3.77,CA,1702190435
168,rawson,-43.3002,-65.1023,16.71,49,81,6.12,AR,1702190435
169,fort bragg,35.139,-79.006,17.32,92,100,2.06,US,1702190435
170,puerto ayora,-0.7393,-90.3518,24.19,96,62,1.34,EC,1702190435
171,cabo san lucas,22.8909,-109.9124,22.51,78,0,1.19,MX,1702190362
172,asyqata,40.8994,68.3611,4.39,55,65,1.39,KZ,1702190436
173,weno,7.4515,151.8468,28.97,79,100,6.17,FM,1702190436
174,lerwick,60.1545,-1.1494,8.0,90,100,8.58,GB,1702190436
175,twin falls,42.3505,-114.6445,-1.81,69,100,4.63,US,1702190436
176,taroa,8.7058,171.2275,27.68,83,36,8.78,MH,1702190436
177,aykhal,66.0,111.5,-29.13,99,99,1.91,RU,1702190436
178,north platte,41.1239,-100.7654,-9.06,73,0,2.06,US,1702190437
179,north little rock,34.7695,-92.2671,10.08,51,100,7.72,US,1702190437
180,el vigia,8.6219,-71.6506,23.85,80,4,2.1,VE,1702190437
181,roma,43.2128,-75.4557,10.46,75,100,3.09,US,1702190437
182,kolyvan',55.3053,82.7391,-28.21,86,100,1.5,RU,1702190437
183,chegdomyn,51.1167,133.0167,-23.13,88,100,0.96,RU,1702190438
184,aldan,58.6031,125.3894,-32.29,98,100,1.89,RU,1702190438
